"tag_id","t_run","t_rear_type","pass_type_T_R","rel_huc","rel_site","rel_rkm","rel_age","MPG","MPG.bin","BYage0","SYage1","AYageT","adult_age","OceanAge","length","SYage1_DOY","LGR.flow.7d","LGR.temp.7d","NPGO.ONDJFM.T","NPGO.ONDJFM.T.AVG3"
"3D9.1BF0DC4428",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2001","2002","2005",5,"3-Ocean or greater",104,"102",72.1472857142857,7.72942857142857,-1.058,0.329666666666667
"3DD.0077B9EDCC",2,"W","ROR","17060102","IMNTRP","522.308.007","ParrAboveLGR","Grande Ronde/Imnaha","Grande Ronde/Imnaha","2019","2020","2022",4,"2-Ocean",85,"116",59.1507142857143,10.0967142857143,-1.193,-1.57
"3D9.1BF105D360",5,"W","T","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1999","2000","2003",5,"3-Ocean or greater",102,"133",83.5822857142857,10.838,1.595,1.91866666666667
"3D9.1BF1076885",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1999","2000","2003",5,"3-Ocean or greater",101,"123",93.8494285714286,10.6268571428571,1.595,1.91866666666667
"3D9.1C2DDB76A6",5,"W","ROR","17060209","SALTRP","522.303.103","SmoltAboveLGR","Lower Salmon River","Clearwater and Salmon","2011","2012","2015",5,"3-Ocean or greater",91,"117",133.448857142857,10.093,-0.445,0.0416666666666666
"3DD.0077B9CB00",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2016","2017","2019",4,"2-Ocean",114,"102",141.770714285714,8.52414285714286,-1.797,-2.07233333333333
"3D9.1C2DD472FA",2,"W","ROR","17060102","IMNTRP","522.308.007","SmoltAboveLGR","Grande Ronde/Imnaha","Grande Ronde/Imnaha","2011","2012","2014",4,"2-Ocean",96,"105",100.459714285714,8.396,-0.589,0.0416666666666666
"3D9.1C67C4EC9F",1,"W","ROR","17060206","BIG2C","522.303.319.029.011","ParrAboveLGR","Middle Fork Salmon River","Clearwater and Salmon","2011","2012","2013",3,"1-Ocean",64,"108",103.956,8.98871428571429,1.159,0.0416666666666666
"3D9.1BF1653D14",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2003","2004","2006",4,"2-Ocean",111,"101",50.0625714285714,10.1115714285714,-1.107,-0.902
"3D9.1C2DDA8AF6",1,"W","ROR","17060303","FISTRP","522.224.120.037.039.002","ParrAboveLGR","Clearwater River","Clearwater and Salmon","2013","2014","2016",4,"2-Ocean",71,"138",85.2248571428571,10.8761428571429,-0.447,-0.371
"3D9.1BF22E52FD",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2005","2006","2008",4,"2-Ocean",109,"118",125.981714285714,9.92885714285714,0.998,0.460666666666667
"3DD.003D371F27",1,"W","ROR","17060206","BIG2C","522.303.319.029.059","ParrAboveLGR","Middle Fork Salmon River","Clearwater and Salmon","2019","2020","2022",4,"2-Ocean",67,"137",100.744714285714,11.1515714285714,-1.193,-1.57
"3D9.1BF0FEA2B5",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1999","2000","2003",5,"3-Ocean or greater",115,"107",93.6025714285714,9.678,1.595,1.91866666666667
"3D9.1C2DCA3A53",1,"W","ROR","17060204","HAYDNC","522.303.416.049.001","ParrAboveLGR","Upper Salmon River","Clearwater and Salmon","2011","2012","2014",4,"2-Ocean",67,"116",123.989285714286,9.85185714285714,-0.589,0.0416666666666666
"3D9.1BF1086316",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1999","2000","2002",4,"2-Ocean",107,"129",93.4805714285714,10.9924285714286,1.814,1.91866666666667
"3D9.1C2DB9D2B0",1,"W","ROR","17060204","LEMHIR","522.303.416.005","ParrAboveLGR","Upper Salmon River","Clearwater and Salmon","2011","2012","2014",4,"2-Ocean",110,"108",103.956,8.98871428571429,-0.589,0.0416666666666666
"3D9.1C2CB1CCD9",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2008","2009","2011",4,"2-Ocean",112,"112",91.405,8.31757142857143,0.753,0.946
"3D9.1C2C3044C9",1,"W","ROR","17060205","MARTRP","522.303.319.170.011","ParrAboveLGR","Middle Fork Salmon River","Clearwater and Salmon","2007","2008","2010",4,"2-Ocean",94,"124",63.6624285714286,9.24942857142857,1.452,1.04333333333333
"3D9.1C2D40C906",5,"W","ROR","17060209","SALTRP","522.303.103","SmoltAboveLGR","Lower Salmon River","Clearwater and Salmon","2012","2013","2016",5,"3-Ocean or greater",111,"110",51.2001428571429,8.06214285714286,-0.447,-0.493666666666667
"3D9.1BF109477F",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1999","2000","2003",5,"3-Ocean or greater",118,"121",97.7631428571429,10.3652857142857,1.595,1.91866666666667
"3D9.1BF10A05F2",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1999","2000","2003",5,"3-Ocean or greater",115,"120",101.765571428571,10.2774285714286,1.595,1.91866666666667
"3D9.1BF1A883E5",1,"W","T","17060104","GRAND2","522.271.164","SmoltAboveLGR","Grande Ronde/Imnaha","Grande Ronde/Imnaha","2004","2005","2008",5,"3-Ocean or greater",103,"126",53.6758571428571,11.7457142857143,0.998,-0.216666666666666
"3D9.1C2D72DB18",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2011","2012","2014",4,"2-Ocean",114,"147",113.897714285714,11.235,-0.589,0.0416666666666666
"3DD.00775874CA",1,"W","ROR","17060306","LOLOC","522.224.087.027","SmoltAboveLGR","Clearwater River","Clearwater and Salmon","2015","2016","2019",5,"3-Ocean or greater",98,"136",100.176285714286,11.7117142857143,-1.797,-1.339
"3D9.1C2D162E8D",1,"W","ROR","17060205","MARSHC","522.303.319.170.012","ParrAboveLGR","Middle Fork Salmon River","Clearwater and Salmon","2010","2011","2013",4,"2-Ocean",74,"117",100.220428571429,9.09342857142857,1.159,0.401
"3DD.0077AE8B47",2,"W","ROR","17060208","SFSRKT","522.303.215.063","ParrAboveLGR","South Fork Salmon River","Clearwater and Salmon","2018","2019","2021",4,"2-Ocean",87,"137",128.23,11.9638571428571,-1.425,-1.67966666666667
"3D9.1C2D0FF873",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2008","2009","2011",4,"2-Ocean",99,"106",85.2705714285714,8.07728571428571,0.753,0.946
"3D9.1BF1095CA6",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1999","2000","2003",5,"3-Ocean or greater",112,"106",89.3662857142857,9.54685714285714,1.595,1.91866666666667
"3DD.003D36ED55",2,"W","ROR","17060203","PANTHC","522.303.338","SmoltAboveLGR","Upper Salmon River","Clearwater and Salmon","2019","2020","2022",4,"2-Ocean",89,"137",100.744714285714,11.1515714285714,-1.193,-1.57
"3D9.1C2C30AAFA",2,"W","ROR","17060208","KNOXB","522.303.215.118","ParrAboveLGR","South Fork Salmon River","Clearwater and Salmon","2008","2009","2011",4,"2-Ocean",66,"101",71.6184285714286,7.18828571428571,0.753,0.946
"3D9.1BF113C499",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2001","2002","2004",4,"2-Ocean",104,"136",61.0522857142857,10.2181428571429,0.452,0.329666666666667
"3D9.1C2D49F7E8",2,"W","ROR","17060202","PAHTRP","522.303.489.002","ParrAboveLGR","Upper Salmon River","Clearwater and Salmon","2011","2012","2013",3,"1-Ocean",97,"113",104.376714285714,9.06671428571429,1.159,0.0416666666666666
"3D9.1BF250089E",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2005","2006","2008",4,"2-Ocean",100,"127",131.083428571429,10.981,0.998,0.460666666666667
"3D9.1BF195516C",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2005","2006","2008",4,"2-Ocean",116,"120",130.532857142857,10.2597142857143,0.998,0.460666666666667
"3D9.1C2E04F066",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2013","2014","2016",4,"2-Ocean",98,"123",72.6827142857143,9.002,-0.447,-0.371
"3DD.0077C103AF",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2017","2018","2020",4,"2-Ocean",112,"108",109.016142857143,9.27685714285714,-2.421,-1.881
"384.3B2397FF3B",1,"W","ROR","17060205","BEARVC","522.303.319.170.007","ParrAboveLGR","Middle Fork Salmon River","Clearwater and Salmon","2013","2014","2016",4,"2-Ocean",71,"114",73.6645714285714,8.97042857142857,-0.447,-0.371
"3D9.1BF27E3A84",2,"W","ROR","17060102","IMNTRP","522.308.007","SmoltAboveLGR","Grande Ronde/Imnaha","Grande Ronde/Imnaha","2007","2008","2010",4,"2-Ocean",83,"97",42.2785714285714,6.348,1.452,1.04333333333333
"3D9.1BF0E3376A",5,"W","ROR","17060107","LGRRRR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","2001","2002","2005",5,"3-Ocean or greater",112,"100",66.3532857142857,7.53157142857143,-1.058,0.329666666666667
"3D9.1C2C330082",1,"W","ROR","17060201","SAWTRP","522.303.617","ParrAboveLGR","Upper Salmon River","Clearwater and Salmon","2007","2008","2010",4,"2-Ocean",68,"135",90.6285714285714,9.94842857142857,1.452,1.04333333333333
